CON,NAME,RA,DEC,MAG
ORI,pi^2,4.843611,8.9000,4.30
ORI,pi^3,4.830833,6.9500,3.10
ORI,pi^4,4.853611,5.6000,3.60
ORI,pi^5,4.904167,2.4500,3.70
ORI,pi^6,4.975833,1.7167,4.40
ORI,gamma,5.418889,6.3500,1.60
ORI,delta,5.533611,-0.3000,2.20
ORI,eta,5.408056,-2.3833,3.30
ORI,tau,5.293333,-6.8500,3.50
ORI,beta,5.242222,-8.2000,0.10
ORI,kappa,5.796111,-9.6667,2.00
ORI,zeta,5.679444,-1.9500,2.00
ORI,alpha,5.919444,7.4000,0.80
ORI,lambda,5.585556,9.9333,3.60
ORI,gamma,5.418889,6.3500,1.60
ORI,,,,
ORI,zeta,5.679444,-1.9500,2.00
ORI,epsilon,5.603333,-1.2000,1.60
ORI,delta,5.533611,-0.3000,2.20
ORI,,,,
ORI,alpha,5.919444,7.4000,0.80
ORI,mu,6.039722,9.6500,4.10
ORI,nu,6.126389,14.7667,4.40
ORI,chi^1,5.906389,20.2667,4.40
ORI,,,,
ORI,mu,6.039722,9.6500,4.10
ORI,xi,6.198889,14.2167,4.40
ORI,chi^2,6.065278,20.1333,4.60
ORI,,,,
GEM,alpha,7.576667,31.8833,1.99
GEM,rho,7.485278,31.7833,4.17
GEM,tau,7.185833,30.2500,4.39
GEM,epsilon,6.732222,25.1333,2.99
GEM,mu,6.382778,22.5167,2.89
GEM,eta,6.247778,22.5000,3.20
GEM,,,,
GEM,epsilon,6.732222,25.1333,2.99
GEM,nu,6.482778,20.2167,4.15
GEM,,,,
GEM,kappa,7.740833,24.4000,3.56
GEM,upsilon,7.598889,26.9000,4.06
GEM,iota,7.428889,27.8000,3.78
GEM,tau,7.185833,30.2500,4.39
GEM,theta,6.879722,33.9667,3.60
GEM,,,,
GEM,beta,7.755278,28.0167,1.15
GEM,upsilon,7.598889,26.9000,4.06
GEM,delta,7.335278,21.9833,3.53
GEM,zeta,7.068611,20.5667,4.15
GEM,gamma,6.628611,16.4000,1.93
GEM,,,,
GEM,delta,7.335278,21.9833,3.53
GEM,lambda,7.301667,16.5333,3.57
GEM,xi,6.755000,12.9000,3.35
GEM,,,,
CNC,iota,8.778333,28.7667,4.03
CNC,gamma,8.721389,21.4667,4.67
